Technology,Year,t,Revenue (€),OPEX (€),Depreciation (€),EBIT (€),Tax (€),FCF (€),Discount factor,PV (€),Cumulative PV (€)
SFR,2033,3,1562745.41,1041657.1439468235,155767.5,365320.76605317637,91330.19151329409,429758.07453988225,0.863837598531476,371241.18306004297,1232110.7938346278
SFR,2034,4,1486627.48,993607.5254999244,155767.5,337252.45450007555,84313.11362501889,408706.8408750567,0.822702474791882,336244.12945228105,1568354.9232869088
SFR,2035,5,1414536.98,948550.5446364897,155767.5,310218.9353635103,77554.73384087757,388431.70152263273,0.783526166468459,304346.4020288491,1872701.325315758
SFR,2036,6,1345324.35,905804.3496607699,155767.5,283752.5003392302,70938.12508480754,368581.87525442266,0.7462153966366276,275041.470236051,2147742.795551809
SFR,2037,7,1279513.8199999998,865579.206457432,155767.5,258167.11354256782,64541.778385641956,349392.83515692584,0.7106813301301215,248306.9648272583,2396049.760379067
SFR,2038,8,1217088.46,827799.8479796477,155767.5,233521.11202035227,58380.27800508807,330908.3340152642,0.6768393620286872,223971.78568486715,2620021.5460639345
SFR,2039,9,1157413.0699999998,792078.277953035,155767.5,209567.29204696487,52391.82301174122,312942.96903522365,0.6446089162177973,201725.8281077752,2821747.3741717096
SFR,2040,10,1101408.96,758826.9473719649,155767.5,186814.51262803504,46703.62815700876,295878.38447102625,0.6139132535407593,181643.6616629914,3003391.035834701
SFR,2041,11,1047537.98,727210.9545802136,155767.5,164559.52541978634,41139.881354946585,279187.14406483975,0.5846792890864374,163234.9409139033,3166625.9767486043
SFR,2042,12,996767.69,697669.6557604837,155767.5,143330.53423951624,35832.63355987906,263265.4006796372,0.5568374181775595,146596.0260099299,3313222.002758534
SFR,2043,13,948491.27,669851.2612001764,155767.5,122872.50879982358,30718.127199955896,247921.8815998677,0.5303213506452946,131478.26710456464,3444700.269863099
SFR,2044,14,902055.0499999999,643392.437370806,155767.5,102895.11262919393,25723.778157298482,232938.83447189545,0.5050679529955189,117649.94029988225,3562350.210162981
SFR,2045,15,857748.8099999999,618399.7946436999,155767.5,83581.51535630005,20895.378839075012,218453.63651722504,0.4810170980909702,105079.93430493519,3667430.1444679163
SFR,2046,16,815988.38,595037.5256658605,155767.5,65183.3543341395,16295.838583534874,204655.01575060462,0.4581115219914002,93754.82074868347,3761184.9652166
SFR,2047,17,776152.37,572968.779002992,155767.5,47416.090997008025,11854.022749252006,191329.56824775602,0.43629668761085727,83476.4568685114,3844661.4220851115
SFR,2048,18,738449.87,552261.3955744646,155767.5,30420.974425535416,7605.243606383854,178583.23081915156,0.41552065486748313,74205.02101832475,3918866.4431034364
SFR,2049,19,702540.52,532722.4504289869,155767.5,14050.569571013097,3512.642392753274,166305.42717825982,0.3957339570166506,65812.70477059719,3984679.1478740335
SFR,2050,20,668129.5,514186.21184301,155767.5,-1824.21184300998,0.0,240741.91961774253,0.3768894828730006,90733.09759058447,4075412.245464618
